engine,setting,game_index,opening_index,engine_color,status,plies,engine_moves,elapsed_s,median_move_latency_s,error
gaia,Skill Level=7,9,9,black,complete,58,12,0.057187800004612654,0.002892150019761175,
stockfish,UCI_Elo=1320,0,0,white,complete,49,24,0.3772535999887623,0.013469549972796813,
stockfish,UCI_Elo=1320,1,1,black,complete,54,24,0.3530322999577038,0.012830749998101965,
stockfish,UCI_Elo=1320,2,2,white,complete,87,39,0.590874099987559,0.012545900011900812,
stockfish,UCI_Elo=1320,3,3,black,complete,42,14,0.1976398999686353,0.012697500002104789,
stockfish,UCI_Elo=1320,4,4,white,complete,39,14,0.21922430000267923,0.012505249993409961,
stockfish,UCI_Elo=1320,5,5,black,complete,68,21,0.3347624000161886,0.013292599993292242,
stockfish,UCI_Elo=1320,6,6,white,complete,49,10,0.14753590000327677,0.012374449986964464,
stockfish,UCI_Elo=1320,7,7,black,complete,90,31,0.4656760999932885,0.01279210002394393,
stockfish,UCI_Elo=1320,8,8,white,complete,45,8,0.13690260000294074,0.013242250017356128,
stockfish,UCI_Elo=1320,9,9,black,complete,80,23,0.42731499997898936,0.013068999978713691,
