step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
48,movement,movement_0048,a2a1,100.0,-100.0,200.0,0.07576568547998053,0.2701815294199945,-0.2046482567789621,-0.2046482567789621,1,,0,frozen,curriculum,,0.0,883.6679433999816
49,movement,movement_0049,d5a1,100.0,-100.0,200.0,0.07576568547998053,0.2604607372229938,-0.194415843940014,-0.194415843940014,1,,0,frozen,curriculum,,0.0,886.2077995999716
50,movement,movement_0050,h5a1,100.0,-100.0,200.0,0.07576568547998053,0.2512259846358431,-0.18469505174301326,-0.18469505174301326,1,,0,frozen,curriculum,,0.0,888.4269911999581
51,movement,movement_0051,d8a1,100.0,-100.0,200.0,0.07576568547998053,0.24245296967804997,-0.1754602991558626,-0.1754602991558626,1,,0,frozen,curriculum,,0.0,890.6486001999583
52,movement,movement_0052,f2a1,100.0,-100.0,200.0,0.07576568547998053,0.23411860546814647,-0.16668728419806944,-0.16668728419806944,1,,0,frozen,curriculum,,0.0,892.9497449999908
53,movement,movement_0053,a1d1,100.0,-100.0,200.0,0.07576568547998053,0.22620095946873817,-0.15835291998816595,-0.15835291998816595,1,,0,frozen,curriculum,,0.0,894.7088624000316
54,movement,movement_0054,a2a1,100.0,-100.0,200.0,0.07576568547998053,0.21867919576930026,-0.15043527398875764,-0.15043527398875764,1,,0,frozen,curriculum,,0.0,896.6033816999989
55,movement,movement_0055,d7a1,100.0,-100.0,200.0,0.07576568547998053,0.21153352025483427,-0.14291351028931973,-0.14291351028931973,1,,0,frozen,curriculum,,0.0,898.7328730999725
56,movement,movement_0056,a5a1,100.0,-100.0,200.0,0.07576568547998053,0.20474512851609156,-0.13576783477485374,-0.13576783477485374,1,,0,frozen,curriculum,,0.0,900.8203740000026
57,movement,movement_0057,g3a1,100.0,-100.0,200.0,0.07576568547998053,0.198296156364286,-0.12897944303611103,-0.12897944303611103,1,,0,frozen,curriculum,,0.0,902.9799063999671
58,movement,movement_0058,f5a1,100.0,-100.0,200.0,0.07576568547998053,0.1921696328200707,-0.12253047088430546,-0.12253047088430546,1,,0,frozen,curriculum,,0.0,905.1035871999338
