stage,position_id,depth,top1_correct,regret_cp
mates,1023,8,0,2.0
mates,1023,16,0,2.0
mates,1275,4,0,422.0
mates,1275,8,0,422.0
mates,1275,16,0,422.0
mates,1331,4,1,0.0
mates,1331,8,1,0.0
mates,1331,16,1,0.0
mates,1381,4,1,0.0
mates,1381,8,1,0.0
mates,1381,16,1,0.0
mates,1502,4,0,107.0
mates,1502,8,0,107.0
mates,1502,16,0,107.0
mates,1692,4,0,99849.0
mates,1692,8,0,99849.0
mates,1692,16,0,99849.0
mates,1735,4,0,209.0
mates,1735,8,0,209.0
mates,1735,16,0,209.0
mates,1842,4,0,98882.0
mates,1842,8,0,98882.0
mates,1842,16,0,98882.0
mates,1901,4,1,0.0
mates,1901,8,1,0.0
mates,1901,16,1,0.0
mates,1912,4,1,0.0
mates,1912,8,0,100518.0
mates,1912,16,0,100518.0
mates,195,4,0,132.0
mates,195,8,0,132.0
mates,195,16,0,132.0
mates,2319,4,0,100123.0
mates,2319,8,1,0.0
mates,2319,16,1,0.0
mates,2319_pv1,4,0,99679.0
mates,2319_pv1,8,0,99679.0
mates,2319_pv1,16,0,99679.0
mates,2359,4,1,0.0
mates,2359,8,0,365.0
mates,2359,16,0,1845.0
mates,262,4,1,0.0
mates,262,8,1,0.0
mates,262,16,1,0.0
mates,2671,4,0,99023.0
mates,2671,8,0,99561.0
mates,2671,16,0,99561.0
mates,2671_pv1,4,1,0.0
mates,2671_pv1,8,1,0.0
mates,2671_pv1,16,1,0.0
mates,2782,4,0,255.0
mates,2782,8,0,255.0
mates,2782,16,0,255.0
mates,3000,4,0,113.0
mates,3000,8,0,113.0
mates,3000,16,0,113.0
mates,3013,4,1,0.0
mates,3013,8,1,0.0
mates,3013,16,1,0.0
mates,3031,4,0,99190.0
mates,3031,8,0,99190.0
mates,3031,16,0,99190.0
mates,3177,4,0,451.0
mates,3177,8,0,451.0
mates,3177,16,0,451.0
mates,3539,4,0,140.0
mates,3539,8,0,140.0
mates,3539,16,0,140.0
mates,3553,4,0,119.0
mates,3553,8,0,119.0
mates,3553,16,0,119.0
mates,3712,4,0,299.0
mates,3712,8,0,299.0
mates,3712,16,0,299.0
mates,3821,4,0,1186.0
mates,3821,8,0,1186.0
mates,3821,16,0,1186.0
mates,4062,4,0,342.0
mates,4062,8,0,342.0
mates,4062,16,0,342.0
mates,4157,4,0,100284.0
mates,4157,8,0,100284.0
mates,4157,16,0,100284.0
mates,4796,4,0,670.0
mates,4796,8,0,670.0
mates,4796,16,0,670.0
mates,4851,4,1,0.0
mates,4851,8,1,0.0
mates,4851,16,1,0.0
mates,4868,4,0,101020.0
mates,4868,8,0,101020.0
mates,4868,16,0,101020.0
mates,4934,4,0,1679.0
mates,4934,8,0,100745.0
mates,4934,16,0,100745.0
mates,4984,4,0,100293.0
mates,4984,8,0,100293.0
mates,4984,16,0,100293.0
mates,4984_pv1,4,0,100612.0
mates,4984_pv1,8,0,100612.0
mates,4984_pv1,16,0,100612.0
mates,539,4,0,100390.0
mates,539,8,0,100390.0
mates,539,16,0,100390.0
mates,702,4,1,0.0
mates,702,8,1,0.0
mates,702,16,1,0.0
mates,772,4,0,418.0
mates,772,8,0,99981.0
mates,772,16,0,99981.0
mates,895,4,0,300.0
mates,895,8,0,300.0
mates,895,16,0,300.0
