position_id,source_game_id,phase,ply,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,legal_move_count
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,a1a2,-137.0,-0.32970746081194724,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,e2d2,-166.0,-0.39270985964766825,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,f2f3,-182.0,-0.42600032550456335,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,e3e4,-184.0,-0.4300842114019795,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,b2b4,-195.0,-0.4522299625215583,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,e2f3,-217.0,-0.49487804044039985,0,26
dev_source_000_offset_12,dev_source_000,middle,12,rnbqk2r/pp1p2pp/4p2n/P1b2p2/2p5/3PP2P/1PP1KPP1/RNBQ1BNR w kq - 0 7,white,a1a3,-338.0,-0.6884483197525052,0,26
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,h4g5,37.0,0.09223708209155926,1,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,f1g2,29.0,0.07237324046358946,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,g4f5,-82.0,-0.20217575769673954,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,d3c4,-110.0,-0.2682711820216014,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,b1c3,-163.0,-0.3863478986519003,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,f4g5,-163.0,-0.3863478986519003,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,b2b3,-183.0,-0.4280444535546033,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,g1f3,-186.0,-0.43415057098594506,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,b1d2,-197.0,-0.45619839653249855,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,h1h3,-221.0,-0.5023915644617227,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,a5a6,-235.0,-0.528095199594932,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,f1h3,-235.0,-0.528095199594932,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,g1h3,-245.0,-0.5458845187934771,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,b2b4,-255.0,-0.563194927804731,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,a2a1,-260.0,-0.5716699660851172,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,e2e1,-260.0,-0.5716699660851172,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,c1d2,-261.0,-0.5733505443682791,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,b1a3,-264.0,-0.5783634130445058,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,c2c3,-292.0,-0.623065349572361,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,d1e1,-325.0,-0.6709670742068736,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,h1h2,-327.0,-0.6737068757188618,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,e3e4,-328.0,-0.6750698748386078,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,d3d4,-359.0,-0.7150783955690241,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,a2a3,-370.0,-0.7282542059818115,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,d1d2,-407.0,-0.7688463106489329,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,e2d2,-451.0,-0.8101619061641351,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,h4h5,-520.0,-0.8617231593133063,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,a2a4,-832.0,-0.9692645888694489,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,e2f3,-851.0,-0.9720110679611439,0,30
dev_source_000_offset_20,dev_source_000,late,20,rnbqkb1r/p2p3p/4p2n/Pp3pp1/2p2PPP/3PP3/RPP1K3/1NBQ1BNR w kq - 0 11,white,e2f2,-1002.0,-0.9867466055006741,0,30
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,f1g2,-89.0,-0.21889956725665038,1,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,g4f5,-89.0,-0.21889956725665038,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,h1h2,-202.0,-0.4660402984777151,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,e4f5,-214.0,-0.48919383165495195,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,h4g5,-227.0,-0.5135209012396211,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,b1c3,-245.0,-0.5458845187934771,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,b2b3,-271.0,-0.5898917298212704,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,d3c4,-278.0,-0.601184486302663,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,b2b4,-285.0,-0.6122421243522802,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,e2c3,-300.0,-0.6351489523872873,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,c2c3,-316.0,-0.658409035955251,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,e4e5,-320.0,-0.6640367702678489,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,d3d4,-335.0,-0.6844826259620602,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,f4g5,-376.0,-0.7352222529158692,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,f1h3,-453.0,-0.8118731484163844,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,b1a3,-489.0,-0.8403900815184251,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,a2a1,-532.0,-0.8692493331488548,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,a2a3,-560.0,-0.8853516482022625,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,d2c3,-563.0,-0.886962068040758,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,h1h3,-568.0,-0.8895989244341314,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,h4h5,-587.0,-0.899099478664166,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,e2g1,-644.0,-0.9231600289968692,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,h1g1,-672.0,-0.9328615534370349,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,e2d4,-674.0,-0.9335073823210518,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,a2a4,-724.0,-0.9478318497072341,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,e2g3,-741.0,-0.9519808468695425,0,27
dev_source_000_offset_28,dev_source_000,late,28,rnbqk2r/3p1n1p/p3p3/Pp3pp1/2p1PPPP/3P4/RPPKNb2/1NBQ1B1R w kq - 0 15,white,d1e1,-918.0,-0.9798983722330525,0,27
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,g1f3,-5.0,-0.012499348999020865,1,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,h3g2,-7.0,-0.01749821376048069,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,d2d4,-13.0,-0.03248856212414491,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,d2d3,-14.0,-0.03498571533277944,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,e2e4,-16.0,-0.03997868031116357,0,23
dev_source_001_offset_04,dev_source_001,early,4,rnbqkbnr/pp1pppp1/2p4p/8/8/6PB/PPPPPP1P/RNBQK1NR w KQkq - 0 3,white,c2c4,-17.0,-0.04247442993254818,0,23
