position_id,source_game_id,split,fen,side_to_move,move_uci,teacher_cp,teacher_target,is_best,legal_move_count
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,a2a3,-730.0,-0.9493345935462565,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,c3c4,-737.0,-0.9510345451294691,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,b1a3,-741.0,-0.9519808468695425,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,b5a6,-778.0,-0.9599285819327407,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,b2b3,-794.0,-0.9629523500734012,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,d2d4,-799.0,-0.9638505266716332,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,f3g3,-800.0,-0.9640275800758169,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,g2g3,-805.0,-0.9649001551103512,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,b2b4,-808.0,-0.9654136868601891,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,f3h3,-812.0,-0.9660869289795985,0,32
2852,generated_0057,train,rq3bnr/1ppkpp1p/p1np2p1/1B3b2/7P/2P1PQ2/PP1PKPPR/RNB3N1 w - - 2 8,white,h2h3,-818.0,-0.9670727104726874,0,32
