position_id,fen,move_uci,teacher_cp,teacher_target,is_best
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,c8e6,41.0,0.1021425386146839,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,c6c5,37.0,0.09223708209155926,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,d6d5,31.0,0.07734521041301597,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,h6f5,31.0,0.07734521041301597,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,h6g8,-76.0,-0.18774620586828542,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5c7,-88.0,-0.21651806149302882,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5d8,-101.0,-0.24726725659645202,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a7a6,-102.0,-0.2496129489368586,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,c8g4,-112.0,-0.27290508056313273,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5b6,-119.0,-0.2890231074125892,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,f7f6,-122.0,-0.29588160416130044,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,c8d7,-123.0,-0.29816104848914665,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,h8g8,-130.0,-0.3140209253469976,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,e7e6,-136.0,-0.32747739480870536,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,g5g4,-139.0,-0.3341565541912505,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,e8d8,-140.0,-0.3363755443363322,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5d5,-155.0,-0.3692030006468615,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,b8a6,-161.0,-0.3820860248314457,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5b5,-183.0,-0.4280444535546033,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5a6,-185.0,-0.4321195876314196,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,b7b5,-203.0,-0.46799503304313933,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,b7b6,-220.0,-0.5005202111902353,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,e8d7,-229.0,-0.51719292375787,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,c8h3,-609.0,-0.9091323414508224,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5a4,-740.0,-0.9517459571646616,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5c3,-744.0,-0.9526788436890776,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5a3,-771.0,-0.95853084482113,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5b4,-820.0,-0.9673950012571181,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5e5,-888.0,-0.9766831668903339,0
3,rnb1kb1r/pp2pp1p/2pp3n/q5p1/3P4/P1P1P3/1P1KNPPP/RNBQ1B1R b kq - 2 6,a5c5,-907.0,-0.9787738762076721,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,f5e6,462.0,0.8194037105941603,1
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,c5b6,319.0,0.6626368112043609,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,f5f6,214.0,0.48919383165495195,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1h5,-159.0,-0.37780783595390927,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,a3c4,-212.0,-0.48538109060537155,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,h1h3,-231.0,-0.5208460039774621,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d3d4,-421.0,-0.7827764066595579,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,a3c2,-440.0,-0.8004990217606297,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1f3,-469.0,-0.825071959039259,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,g2g4,-474.0,-0.829021721130387,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,g2g3,-485.0,-0.8374278407728539,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,f2f4,-494.0,-0.8440235297412673,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,a3b1,-505.0,-0.8517518696186737,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,a1c1,-510.0,-0.8551470292769645,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,a1b1,-516.0,-0.8591265382143658,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1e2,-523.0,-0.8636414743963026,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,f1e2,-559.0,-0.8848100694639156,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,h1h2,-566.0,-0.8885512041426692,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1d2,-580.0,-0.8956928738431645,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,h1g1,-599.0,-0.9046954633850877,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,h4h5,-605.0,-0.9073817003029993,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1c1,-619.0,-0.9133720563094846,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,e1e2,-708.0,-0.9436094240597148,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1b3,-753.0,-0.9547139452847008,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1c2,-773.0,-0.9589349975863708,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1b1,-810.0,-0.9657519333685445,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,f2f3,-850.0,-0.971872745913509,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,e1d2,-894.0,-0.9773644841978153,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1g4,-957.0,-0.9834301788405615,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,d1a4,-983.0,-0.9854354059682076,0
4,rn5r/p1bp1kpp/bqp1p2n/1pP2P2/1P5P/N2P4/P4PP1/R2QKB1R w KQ - 4 16,a3b5,-1007.0,-0.9870717177321973,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,d7d5,-153.0,-0.36487660438612957,1
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,c8b7,-192.0,-0.4462436102487796,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,h7h5,-196.0,-0.4542164326822591,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,h7h6,-205.0,-0.4718907878542969,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,f8a3,-230.0,-0.5190218338982221,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,d7d6,-255.0,-0.563194927804731,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,f8d6,-261.0,-0.5733505443682791,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,f6e4,-270.0,-0.5882592563981054,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,c7c6,-291.0,-0.6215334927210111,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,f8c5,-330.0,-0.6777821008468294,0
5,r1b1qb1r/p1pp1ppp/np2kn2/4p3/P5P1/BPP1P2N/3P1P1P/RN1QKB1R b KQ - 1 8,c7c5,-331.0,-0.6791313403693489,0
