population_id,anatomical_family,population_size,train_depth,test_depth,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,winner_switch_frequency_across_test_depth
readout_fan_shaped_body,fan_shaped_body,256,64,32,0.7040707016604177,0.0703125,0.3046875,5168.1484375,15.546875,0.1939562051655731,0.13764705056358922,1.1462769848294556,1.0114577938891765e-06,0.01526694394096323,0.4283854166666667
readout_fan_shaped_body,fan_shaped_body,256,64,64,0.7150508837707552,0.0859375,0.265625,5104.671875,13.4609375,0.19782653280406054,0.13944957147114767,0.4332006031181663,2.022915587778353e-06,0.008569070429829104,0.4283854166666667
readout_hdelta_family,hdelta_family,189,1,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0
readout_hdelta_family,hdelta_family,189,1,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0
readout_hdelta_family,hdelta_family,189,1,4,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.20246794845448393,0.020710545568132312,0.0
readout_hdelta_family,hdelta_family,189,1,8,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.017149871629415905,0.0
readout_hdelta_family,hdelta_family,189,1,16,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.019863875120218984,0.0
readout_hdelta_family,hdelta_family,189,1,32,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.018245885154222805,0.0
readout_hdelta_family,hdelta_family,189,1,64,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.005315665595313446,0.0
readout_hdelta_family,hdelta_family,189,2,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0
readout_hdelta_family,hdelta_family,189,2,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0
readout_hdelta_family,hdelta_family,189,2,4,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.20246794845448393,0.020710545568132312,0.0
readout_hdelta_family,hdelta_family,189,2,8,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.017149871629415905,0.0
readout_hdelta_family,hdelta_family,189,2,16,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.019863875120218984,0.0
readout_hdelta_family,hdelta_family,189,2,32,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.018245885154222805,0.0
readout_hdelta_family,hdelta_family,189,2,64,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.005315665595313446,0.0
readout_hdelta_family,hdelta_family,189,4,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.4778645833333333
readout_hdelta_family,hdelta_family,189,4,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.4778645833333333
readout_hdelta_family,hdelta_family,189,4,4,0.6547937868237814,0.0390625,0.171875,4334.0078125,13.0078125,0.13623291066530308,0.09546517617780703,0.24747044662944973,0.20246794845448393,0.020710545568132312,0.4778645833333333
readout_hdelta_family,hdelta_family,189,4,8,0.5385645420460632,0.03125,0.15625,4415.1484375,16.875,0.024565351578521327,0.015930865572514864,1.5641896210727282,0.0,0.017149871629415905,0.4778645833333333
readout_hdelta_family,hdelta_family,189,4,16,0.5227637921799678,0.0234375,0.140625,5164.1953125,15.0390625,0.01922618069321583,0.010783408627757908,1.8338040669914335,0.0,0.019863875120218984,0.4778645833333333
readout_hdelta_family,hdelta_family,189,4,32,0.549812533476165,0.0234375,0.1484375,5163.2734375,15.8828125,0.04065714353698611,0.026570482073965493,2.0677999816834927,0.0,0.018245885154222805,0.4778645833333333
readout_hdelta_family,hdelta_family,189,4,64,0.578468130690948,0.0625,0.1875,4377.9375,14.984375,0.04207672990043275,0.027752510772226305,1.3904433015268296,0.0,0.005315665595313446,0.4778645833333333
readout_hdelta_family,hdelta_family,189,8,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.4231770833333333
readout_hdelta_family,hdelta_family,189,8,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.4231770833333333
readout_hdelta_family,hdelta_family,189,8,4,0.5294590251740761,0.015625,0.0859375,3583.8984375,16.9921875,0.0080018840070947,0.007522167464829725,0.6986590279848315,0.20246794845448393,0.020710545568132312,0.4231770833333333
readout_hdelta_family,hdelta_family,189,8,8,0.6794322442420996,0.0625,0.265625,5113.6640625,13.7890625,0.16111497569456892,0.1138460228909171,0.4724407237954438,0.0,0.017149871629415905,0.4231770833333333
readout_hdelta_family,hdelta_family,189,8,16,0.6855918585966791,0.0703125,0.2578125,5145.2109375,14.1171875,0.15362866009191953,0.1056681620970569,0.7401424538111314,0.0,0.019863875120218984,0.4231770833333333
readout_hdelta_family,hdelta_family,189,8,32,0.6946973754686663,0.0859375,0.2578125,5122.828125,13.8359375,0.17823402952002243,0.1242123751865569,0.7345406978856772,0.0,0.018245885154222805,0.4231770833333333
readout_hdelta_family,hdelta_family,189,8,64,0.6397964649169791,0.03125,0.15625,5166.203125,16.4296875,0.11865173757599837,0.08077658593411706,0.9201035571168177,0.0,0.005315665595313446,0.4231770833333333
readout_hdelta_family,hdelta_family,189,16,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.4765625
readout_hdelta_family,hdelta_family,189,16,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.4765625
readout_hdelta_family,hdelta_family,189,16,4,0.5725763256561328,0.03125,0.1796875,3600.0859375,16.5546875,0.06617480334009333,0.04859596136597198,0.5149241395411082,0.20246794845448393,0.020710545568132312,0.4765625
readout_hdelta_family,hdelta_family,189,16,8,0.6614890198178897,0.0390625,0.21875,4341.0859375,13.6171875,0.15933131609008291,0.11213246351527231,0.44372974522411823,0.0,0.017149871629415905,0.4765625
readout_hdelta_family,hdelta_family,189,16,16,0.695232994108195,0.078125,0.28125,5119.625,13.5390625,0.17103819819159588,0.11857861225072769,0.5355680899228901,0.0,0.019863875120218984,0.4765625
readout_hdelta_family,hdelta_family,189,16,32,0.7021960364220675,0.09375,0.265625,4321.0234375,12.9140625,0.1877509082400442,0.13122718362608898,0.5616294302744791,0.0,0.018245885154222805,0.4765625
readout_hdelta_family,hdelta_family,189,16,64,0.6534547402249599,0.03125,0.2109375,5142.0625,15.1328125,0.15357030070610853,0.10993905892002333,1.0133348080562428,0.0,0.005315665595313446,0.4765625
readout_hdelta_family,hdelta_family,189,32,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.4934895833333333
readout_hdelta_family,hdelta_family,189,32,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.4934895833333333
readout_hdelta_family,hdelta_family,189,32,4,0.5731119442956615,0.03125,0.1640625,3584.7421875,16.1640625,0.05864705285782254,0.04305423118750065,0.5435158064356074,0.20246794845448393,0.020710545568132312,0.4934895833333333
readout_hdelta_family,hdelta_family,189,32,8,0.6526513122656669,0.03125,0.21875,4372.21875,14.9140625,0.15609206549921764,0.11022288077863687,0.6450568942818791,0.0,0.017149871629415905,0.4934895833333333
readout_hdelta_family,hdelta_family,189,32,16,0.66336368505624,0.0390625,0.21875,5141.1640625,14.6484375,0.1536016795213121,0.1076914609724218,0.610368023859337,0.0,0.019863875120218984,0.4934895833333333
readout_hdelta_family,hdelta_family,189,32,32,0.7003213711837172,0.0859375,0.28125,5135.3203125,14.1484375,0.1757905465144176,0.12180965086987033,0.5155761643545702,0.0,0.018245885154222805,0.4934895833333333
readout_hdelta_family,hdelta_family,189,32,64,0.6805034815211569,0.0703125,0.2421875,4331.984375,14.6953125,0.17110237780401685,0.12365062240906426,1.0136402015341446,0.0,0.005315665595313446,0.4934895833333333
readout_hdelta_family,hdelta_family,189,64,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.5078125
readout_hdelta_family,hdelta_family,189,64,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.5078125
readout_hdelta_family,hdelta_family,189,64,4,0.5281199785752544,0.0078125,0.0703125,5157.3125,16.578125,0.0022278130938723365,0.0009242835658999247,1.2341542923823,0.20246794845448393,0.020710545568132312,0.5078125
readout_hdelta_family,hdelta_family,189,64,8,0.5707016604177826,0.03125,0.0859375,5171.140625,15.6953125,0.06723614998377574,0.04307763160032071,0.8537325349170715,0.0,0.017149871629415905,0.5078125
readout_hdelta_family,hdelta_family,189,64,16,0.5712372790573111,0.015625,0.0625,5174.8515625,16.59375,0.07303932361872698,0.04571038572791744,1.0537137505598366,0.0,0.019863875120218984,0.5078125
readout_hdelta_family,hdelta_family,189,64,32,0.6039100160685592,0.015625,0.09375,5216.015625,17.65625,0.08280010481199676,0.05487766556041961,0.75473737786524,0.0,0.018245885154222805,0.5078125
readout_hdelta_family,hdelta_family,189,64,64,0.688805570433851,0.0625,0.234375,5129.4609375,13.9609375,0.15994112413435863,0.10836997534582436,0.5285894412081689,0.0,0.005315665595313446,0.5078125
readout_pfn,pfn,256,1,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0
readout_pfn,pfn,256,1,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0
readout_pfn,pfn,256,1,4,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.034082081822889694,0.0
readout_pfn,pfn,256,1,8,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,3.0343733816675297e-06,0.030003883997928534,0.0
readout_pfn,pfn,256,1,16,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.02933227602278612,0.0
readout_pfn,pfn,256,1,32,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.02951433842568617,0.0
readout_pfn,pfn,256,1,64,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.02813167562143967,0.0
readout_pfn,pfn,256,2,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0
readout_pfn,pfn,256,2,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0
readout_pfn,pfn,256,2,4,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.034082081822889694,0.0
readout_pfn,pfn,256,2,8,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,3.0343733816675297e-06,0.030003883997928534,0.0
readout_pfn,pfn,256,2,16,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.02933227602278612,0.0
readout_pfn,pfn,256,2,32,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.0,0.02951433842568617,0.0
