population_id,role,anatomical_family,population_size,mean_in_degree,mean_out_degree,mean_in_strength,mean_out_strength,reachable_from_baseline_sensory_fraction,median_distance_from_baseline_sensory,reachable_to_baseline_readout_fraction,median_distance_to_baseline_readout,scc_member_fraction,scc_count,atlas_mapping_confidence,depth,validation_mean_teacher_regret_cp
readout_pfl,readout,pfl,52,152.15384615384616,73.6923076923077,1.0,0.6982088088989258,1.0,2.0,0.9615384615384616,1.0,0.9615384615384616,3,,8.0,5071.1171875
readout_pfn,readout,pfn,256,29.78125,43.59375,1.0,0.618783712387085,1.0,3.0,1.0,2.0,1.0,1,,1.0,4347.421875
readout_pfn,readout,pfn,256,29.78125,43.59375,1.0,0.618783712387085,1.0,3.0,1.0,2.0,1.0,1,,8.0,4372.0859375
readout_pfr,readout,pfr,44,106.77272727272727,33.52272727272727,1.0,0.274185448884964,1.0,2.0,0.36363636363636365,2.0,0.36363636363636365,29,,1.0,4347.421875
readout_pfr,readout,pfr,44,106.77272727272727,33.52272727272727,1.0,0.274185448884964,1.0,2.0,0.36363636363636365,2.0,0.36363636363636365,29,,8.0,5134.2890625
readout_random_central_brain,readout,random_central_brain,256,62.97265625,64.90234375,1.0,0.9133827090263367,1.0,2.0,0.95703125,2.0,0.95703125,12,,1.0,4347.421875
readout_random_central_brain,readout,random_central_brain,256,62.97265625,64.90234375,1.0,0.9133827090263367,1.0,2.0,0.95703125,2.0,0.95703125,12,,8.0,5079.34375
readout_random_whole_brain,readout,random_whole_brain,256,56.8203125,63.81640625,0.9921875,0.9113944172859192,0.98828125,2.0,0.953125,2.0,0.9453125,16,,1.0,5093.3203125
readout_random_whole_brain,readout,random_whole_brain,256,56.8203125,63.81640625,0.9921875,0.9113944172859192,0.98828125,2.0,0.953125,2.0,0.9453125,16,,8.0,5035.1171875
readout_sip,readout,sip,256,97.10546875,86.09375,1.0,0.6791690587997437,1.0,2.0,1.0,2.0,1.0,1,,1.0,4347.421875
readout_sip,readout,sip,256,97.10546875,86.09375,1.0,0.6791690587997437,1.0,2.0,1.0,2.0,1.0,1,,8.0,5875.4921875
readout_smp,readout,smp,256,106.05859375,87.9453125,1.0,0.9462040662765503,1.0,2.0,0.95703125,2.0,0.95703125,12,,1.0,4347.421875
readout_smp,readout,smp,256,106.05859375,87.9453125,1.0,0.9462040662765503,1.0,2.0,0.95703125,2.0,0.95703125,12,,8.0,5866.4765625
readout_smp_cre_sip_combined,readout,smp_cre_sip_combined,256,104.86328125,82.1484375,1.0,0.8303856253623962,1.0,2.0,0.95703125,2.0,0.95703125,12,,1.0,4347.421875
readout_smp_cre_sip_combined,readout,smp_cre_sip_combined,256,104.86328125,82.1484375,1.0,0.8303856253623962,1.0,2.0,0.95703125,2.0,0.95703125,12,,8.0,5062.8125
readout_visual_projection,readout,visual_projection,256,123.48046875,69.01953125,1.0,0.5957325100898743,1.0,2.0,0.953125,2.0,0.953125,13,high,1.0,4367.8125
readout_visual_projection,readout,visual_projection,256,123.48046875,69.01953125,1.0,0.5957325100898743,1.0,2.0,0.953125,2.0,0.953125,13,high,8.0,4307.4765625
readout_vnc_motor_efferent,readout,vnc_motor_efferent,256,151.15625,1.26171875,0.99609375,0.025594521313905716,0.99609375,2.0,0.23046875,1.0,0.15625,218,,1.0,4347.421875
readout_vnc_motor_efferent,readout,vnc_motor_efferent,256,151.15625,1.26171875,0.99609375,0.025594521313905716,0.99609375,2.0,0.23046875,1.0,0.15625,218,,8.0,4291.4609375
topology_readout_central_complex,readout,topology_matched_central_complex,256,56.56640625,51.30859375,1.0,0.48297199606895447,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_cre,readout,topology_matched_CRE,256,79.71484375,84.8359375,1.0,0.8607527017593384,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_dan_modulatory_mb,readout,topology_matched_DAN_modulatory_MB,256,59.74609375,0.0,1.0,0.0,1.0,2.0,0.01171875,0.0,0.0,256,,,
topology_readout_delta7,readout,topology_matched_Delta7,42,60.30952380952381,93.0,1.0,1.3475254774093628,1.0,3.0,1.0,2.0,1.0,1,,,
topology_readout_descending,readout,topology_matched_descending,256,118.91796875,123.82421875,1.0,1.0771734714508057,1.0,2.0,1.0,1.0,1.0,1,,,
topology_readout_epg,readout,topology_matched_EPG,50,267.9,157.22,1.0,1.9545679092407227,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_fan_shaped_body,readout,topology_matched_fan_shaped_body,256,93.52734375,98.515625,1.0,1.0355178117752075,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_fc,readout,topology_matched_FC,256,30.08203125,42.921875,1.0,0.7150098085403442,1.0,3.0,1.0,2.0,1.0,1,,,
topology_readout_hdelta_family,readout,topology_matched_hDelta_family,189,116.11640211640211,85.25925925925925,1.0,0.9350451231002808,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_lal,readout,topology_matched_LAL,256,78.34765625,80.828125,1.0,0.6765521764755249,1.0,2.0,1.0,1.0,1.0,1,,,
topology_readout_mbon,readout,topology_matched_MBON,97,390.10309278350513,157.1340206185567,1.0,2.1154561042785645,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_mb_kenyon_cells,readout,topology_matched_MB_Kenyon_cells,256,34.30078125,46.66796875,1.0,0.4905182719230652,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_pb_eb_associated,readout,topology_matched_PB_EB_associated,256,75.5703125,73.25390625,1.0,0.6588352918624878,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_pfl,readout,topology_matched_PFL,52,172.8653846153846,86.61538461538461,1.0,0.5848264098167419,1.0,2.0,1.0,1.0,1.0,1,,,
topology_readout_pfn,readout,topology_matched_PFN,256,21.33984375,37.39453125,1.0,0.6897804141044617,1.0,3.0,1.0,2.0,1.0,1,,,
topology_readout_pfr,readout,topology_matched_PFR,44,96.0909090909091,19.75,1.0,0.3726874589920044,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_sip,readout,topology_matched_SIP,256,80.80859375,71.6875,1.0,0.6144141554832458,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_smp,readout,topology_matched_SMP,256,74.3828125,64.9453125,1.0,0.5174936056137085,1.0,2.0,1.0,2.0,1.0,1,,,
topology_readout_visual_projection,readout,topology_matched_visual_projection,256,76.51953125,61.8203125,1.0,0.7089170217514038,1.0,1.0,1.0,2.0,1.0,1,,,
topology_readout_vnc_motor_efferent,readout,topology_matched_VNC_motor_efferent,256,108.98828125,24.7421875,1.0,0.16413556039333344,1.0,2.0,0.6171875,1.0,0.6171875,99,,,
