population_id,anatomical_family,population_role,population_size,depth,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,effective_rank,within_position_candidate_distance,mean_train_feature_std,mean_validation_score_margin_proxy
readout_fb_combined,fb_combined,readout,256,8,0.7198714515265131,0.078125,0.3515625,5115.7578125,13.921875,0.19596677024164066,0.14045680886798834,0.5199082670733333,0.0,0.018644201514759193,25.985185623168945,6.2367461969873546,0.9999999403953552,9.68215560913086
readout_fb_combined,fb_combined,readout,256,16,0.7193358328869844,0.078125,0.34375,5113.5390625,14.1171875,0.1946694379912874,0.1396341310859734,0.5944040245376527,0.0,0.018593628625064734,26.571361541748047,6.452299327240652,1.0,10.408794403076172
readout_fb_combined,fb_combined,readout,256,32,0.7214783074450991,0.078125,0.34375,4335.9296875,13.765625,0.19111849345916146,0.13629356497931916,0.5807808511890471,1.0114577938891765e-06,0.01756598750647333,24.646787643432617,6.286483423226196,1.0,10.040225982666016
readout_fb_combined,fb_combined,readout,256,64,0.7155865024102839,0.09375,0.265625,5106.6953125,14.046875,0.1747104710702532,0.12320485326700624,0.43077028589323163,2.022915587778353e-06,0.00854884127395132,10.964051246643066,5.420919149578532,0.9999998807907104,7.464090824127197
readout_fc,fc,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_fc,fc,readout,256,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_fc,fc,readout,256,4,0.7134440278521692,0.078125,0.2734375,5094.5859375,13.5078125,0.18447080462764606,0.12771686568874438,0.4809247995726764,0.008652009968928016,0.02241491617037804,7.460360527038574,5.656343743838978,0.9882811307907104,9.459349632263184
readout_fc,fc,readout,256,8,0.6708623460096411,0.1015625,0.3203125,4344.4453125,13.7109375,0.17075869561416673,0.12011079878554233,0.4672642475925386,2.022915587778353e-06,0.01638359334541688,6.168860912322998,4.805309752225066,0.9999998807907104,6.666098117828369
readout_fc,fc,readout,256,16,0.6834493840385646,0.09375,0.3515625,5096.828125,13.1953125,0.1763230928382478,0.12524718576685298,0.4969467855989933,0.0,0.015959792529777316,6.604887008666992,5.084480653081416,0.9999999403953552,6.709763526916504
readout_fc,fc,readout,256,32,0.688805570433851,0.09375,0.3203125,5078.5,12.59375,0.18217534665238933,0.12844271165759627,0.4612056650221348,1.0114577938891765e-06,0.017564976048679442,6.425564289093018,5.228500497607447,0.9999998807907104,6.254158020019531
readout_fc,fc,readout,256,64,0.6679164434922336,0.078125,0.28125,4351.1640625,13.7578125,0.16154067085462565,0.11279129644211061,0.46697705518454313,2.022915587778353e-06,0.012669520326255826,5.093383312225342,5.034843762781914,0.9999998807907104,5.7150654792785645
readout_fc_pfn_pfr_combined,fc_pfn_pfr_combined,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
