graph_index,body_id,role,superclass,class,subclass,type,flywire_type,hemibrain_type,manc_type,in_degree,out_degree,weighted_in_strength,weighted_out_strength,reciprocal_edge,input_reach_depth,output_reverse_distance
155597,816764,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,chordotonal organ,SNpp42,nan,nan,SNpp42,7,35,0.9999999403953552,0.35953056812286377,1,0,2
155602,816772,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx03,nan,nan,SNxx03,22,41,1.0000001192092896,0.5906632542610168,1,0,1
155605,816778,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG2,nan,nan,SNch12,29,33,1.0,0.5837377309799194,1,0,2
155655,816857,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta32,nan,nan,SNta32,12,34,1.0000001192092896,1.5941863059997559,1,0,2
155674,816883,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,"SNta02,SNta09",nan,nan,"SNta02,SNta09",21,50,1.0,0.4852684736251831,1,0,2
155689,816910,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx03,nan,nan,SNxx03,27,40,1.0,0.6373074650764465,1,0,2
155782,817057,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG7,nan,nan,nan,4,17,1.0,1.7281779050827026,1,0,2
155846,817182,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,nan,nan,nan,nan,16,41,1.0,0.4968385100364685,1,0,1
155870,817218,baseline_sensory,vnc_sensory,nan,taste bristle,SNch10,nan,nan,SNch10,9,52,0.9999999403953552,0.9406207799911499,1,0,2
155879,817233,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta27,nan,nan,SNta27,14,44,1.0000001192092896,0.18847081065177917,1,0,2
155996,817408,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta41,nan,nan,SNta41,8,45,1.0,0.4392140805721283,1,0,2
156002,817417,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG1,nan,nan,SNch03,31,41,1.0,0.6822634935379028,1,0,2
156007,817425,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG1,nan,nan,SNch03,30,44,1.0000001192092896,0.8204917311668396,1,0,2
156025,817455,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG2,nan,nan,SNch12,27,32,1.0,0.8468328714370728,1,0,2
156046,817497,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG1,nan,nan,SNch03,36,36,0.9999998807907104,0.5348222255706787,1,0,2
156163,817680,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,chordotonal organ,SNpp51,nan,nan,SNpp51,4,50,1.0,0.8524604439735413,1,0,1
156173,817697,baseline_sensory,vnc_sensory,mechanosensory_proprioceptive,leg,SNppxx,nan,nan,SNppxx,2,26,1.0,1.5467301607131958,1,0,2
156188,817721,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx03,nan,nan,SNxx03,16,34,1.0000001192092896,0.3697720766067505,1,0,2
156279,817873,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG2,nan,nan,nan,9,17,1.0,0.7547925114631653,1,0,2
156290,817891,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta30,nan,nan,SNta30,7,32,1.0,0.18596725165843964,1,0,2
156302,817909,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,SNxx04,nan,nan,SNxx04,20,29,1.0,0.783092200756073,1,0,2
156307,817919,baseline_sensory,vnc_sensory,mechanosensory_tactile,mechanosensory bristle,SNta41,nan,nan,SNta41,8,23,1.0,0.7137924432754517,1,0,2
156315,817934,baseline_sensory,vnc_sensory,gustatory,leg bristle,LgLG3,nan,nan,SNch07,16,28,1.0,0.9364338517189026,1,0,1
156342,817988,baseline_sensory,vnc_sensory,gustatory,wing bristle,WG1,nan,nan,SNch03,25,38,1.0,0.5839110612869263,1,0,2
156421,818158,baseline_sensory,vnc_sensory,unknown_sensory,abdomen,nan,nan,nan,nan,14,28,1.0000001192092896,1.0527567863464355,1,0,1
