population_id,anatomical_family,depth,population_size,within_position_candidate_distance,between_position_state_distance,effective_rank,participation_ratio,cka_to_depth_1,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,train_pair_accuracy,train_top1_accuracy,train_top3_accuracy,train_mean_teacher_regret_cp,train_mean_selected_teacher_rank,train_mean_spearman,train_mean_kendall,train_mean_score_margin,train_near_zero_unit_fraction,train_saturated_unit_fraction,train_validation_pair_accuracy_gap,train_validation_top1_accuracy_gap,train_validation_regret_gap_cp,state_norm_mean,delta_norm_mean,saturation_fraction,effective_rank_relative_to_depth_1,winner_switch_frequency_across_test_depth
readout_pfn,pfn,8,256,2.9551696248361448,20.71912085986496,5.424734115600586,3.2607693657856824,0.0,0.6360471344402785,0.0859375,0.2265625,4372.0859375,13.734375,0.1243001198161464,0.0852888000644518,0.4490629935171455,3.0343733816675297e-06,0.0300038839979285,0.7492869366799771,0.15625,0.296875,1112.4375,10.7890625,0.1882104711822722,0.1346585963126129,0.4920694883912802,0.0,0.0220852538525041,0.1132398022396986,0.0703125,3259.6484375,14.743122100830078,8.735246658325195,0.0300038839979285,5424734.115600586,0.26767113095238093
readout_pfn,pfn,16,256,3.017153565401077,20.7527262457034,5.55133867263794,3.346996605773547,0.0,0.6355115158007498,0.0546875,0.2265625,4352.65625,13.171875,0.1236911155879554,0.0839175865690609,0.4386564400047064,0.0,0.0293322760227861,0.7475755847119224,0.140625,0.3046875,1110.5703125,11.015625,0.1839831765811716,0.1310495029906505,0.5057936110533774,0.0,0.0218982182168409,0.1120640689111726,0.0859375,3242.0859375,14.766818046569824,1.3143374919891355,0.0293322760227861,5551338.672637939,0.26767113095238093
readout_pfn,pfn,32,256,3.0783230905750134,20.73050822381891,5.5719404220581055,3.3409266619035685,0.0,0.6376539903588645,0.0546875,0.2265625,4349.3515625,13.296875,0.1190512250513941,0.0803510800974675,0.4379500239156186,0.0,0.0295143384256861,0.744438106103822,0.1640625,0.296875,1113.1484375,10.8125,0.1781456052991917,0.1271886218079896,0.4934978480450809,0.0,0.0219734624380847,0.1067841157449575,0.109375,3236.203125,14.737932205200195,0.608856737613678,0.0295143384256861,5571940.4220581055,0.26767113095238093
readout_pfn,pfn,64,256,3.1940392609853427,20.78284317104034,5.495479106903076,3.2422037009937816,0.0,0.6550615961435458,0.0546875,0.234375,4359.765625,13.09375,0.1293345711950352,0.0872786330687204,0.4387685912661254,0.0,0.0281316756214396,0.7472903593839133,0.1796875,0.3125,1105.4921875,10.1484375,0.1866189253476617,0.1322106570508407,0.50056281266734,1.074917446340121e-06,0.0198548001513483,0.0922287632403675,0.125,3254.2734375,14.71646213531494,2.748427152633667,0.0281316756214396,5495479.106903076,0.26767113095238093
readout_pfr,pfr,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.015625,0.0390625,2765.34375,16.65625,,,0.0,1.0,0.0,0.0,-0.046875,1582.078125,0.0,0.0,0.0,0.0,0.28757440476190477
readout_pfr,pfr,2,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.015625,0.0390625,2765.34375,16.65625,,,0.0,1.0,0.0,0.0,-0.046875,1582.078125,0.0,0.0,0.0,0.0,0.28757440476190477
readout_pfr,pfr,4,44,1.2716827245053632,7.037333539033321,2.4646098613739014,1.7155718559120845,0.0,0.6242635243706481,0.125,0.28125,4257.96875,11.828125,0.1262020722107331,0.0851061415210625,0.5192242949269712,0.0369332893931547,0.0439715644272868,0.6959498003422704,0.1328125,0.3203125,1922.78125,11.7890625,0.187090118890319,0.1323283551236559,0.2930020382627845,0.0385000250162605,0.0277993195577125,0.0716862759716222,0.0078125,2335.1875,5.013891220092773,5.013891220092773,0.0439715644272868,2464609.8613739014,0.28757440476190477
readout_pfr,pfr,8,44,1.2767151486324773,7.98868743644195,1.7541784048080444,1.3127795054696312,0.0,0.648634172469202,0.109375,0.265625,5134.2890625,14.3203125,0.1261929723003042,0.0855741795298911,0.3459376590326428,0.0,0.0084506379172355,0.7524244152880776,0.15625,0.359375,1145.6484375,11.5625,0.2188120443381346,0.1558808733359104,0.2667401649523526,0.0,0.0122392054835643,0.1037902428188756,0.046875,3988.640625,5.848031997680664,5.395214080810547,0.0084506379172355,1754178.4048080444,0.28757440476190477
readout_pfr,pfr,16,44,1.4820371440984912,7.97843416225163,1.87073028087616,1.3491234309393296,0.0,0.6628280664167113,0.09375,0.328125,5111.1328125,13.4375,0.1348723648110198,0.0921921052252367,0.2967975765932351,0.0,0.0076738383315286,0.7558471192241871,0.1640625,0.375,1121.9609375,11.5546875,0.2167839329038182,0.1547555523205371,0.2207551153842359,0.0,0.0124706058938309,0.0930190528074758,0.0703125,3989.171875,5.826466083526611,0.9043655395507812,0.0076738383315286,1870730.28087616,0.28757440476190477
readout_pfr,pfr,32,44,1.5100859283208166,7.8630929586616976,1.869131088256836,1.3442615360481167,0.0,0.6713979646491698,0.1171875,0.3203125,5112.8046875,13.1875,0.1434039512394392,0.0976565098847433,0.2765367382671684,0.0,0.0092921708017513,0.7584141471762692,0.1796875,0.3671875,1113.90625,10.765625,0.2200912595080735,0.1578610365098648,0.207010998041369,0.0,0.0121641567018562,0.0870161825270994,0.0625,3998.8984375,5.655412673950195,1.0042709112167358,0.0092921708017513,1869131.088256836,0.28757440476190477
