game_id,matchup_id,opening_pair,opening_fen,game_in_pair,white_engine,white_setting,black_engine,black_setting,result,white_score,plies,elapsed_s,status,error,opening_pair_index
matchup_010_opening_000_1,matchup_010,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=11,minic,Level=10,1/2-1/2,0.5,80,0.2627381000202149,complete,,0
matchup_010_opening_001_0,matchup_010,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=10,minic,Level=11,1/2-1/2,0.5,80,0.2734706000192091,complete,,1
matchup_010_opening_001_1,matchup_010,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=11,minic,Level=10,1/2-1/2,0.5,80,0.3030014000250958,complete,,1
matchup_011_opening_000_0,matchup_011,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=11,minic,Level=12,1/2-1/2,0.5,80,0.3260341000277549,complete,,0
matchup_011_opening_000_1,matchup_011,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=12,minic,Level=11,1/2-1/2,0.5,80,0.28431660000933334,complete,,0
matchup_011_opening_001_0,matchup_011,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=11,minic,Level=12,1/2-1/2,0.5,80,0.28767819999484345,complete,,1
matchup_011_opening_001_1,matchup_011,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=12,minic,Level=11,1/2-1/2,0.5,80,0.2683305999962613,complete,,1
matchup_012_opening_000_0,matchup_012,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=12,minic,Level=13,1/2-1/2,0.5,80,0.31688719999510795,complete,,0
matchup_012_opening_000_1,matchup_012,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=13,minic,Level=12,1/2-1/2,0.5,80,0.2924492000020109,complete,,0
matchup_012_opening_001_0,matchup_012,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=12,minic,Level=13,1/2-1/2,0.5,80,0.25867399998242036,complete,,1
matchup_012_opening_001_1,matchup_012,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=13,minic,Level=12,1/2-1/2,0.5,80,0.2625838000094518,complete,,1
matchup_013_opening_000_0,matchup_013,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=13,minic,Level=14,1/2-1/2,0.5,80,0.2996800999972038,complete,,0
matchup_013_opening_000_1,matchup_013,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=14,minic,Level=13,1/2-1/2,0.5,80,0.2788389000343159,complete,,0
matchup_013_opening_001_0,matchup_013,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=13,minic,Level=14,1/2-1/2,0.5,80,0.3138951999717392,complete,,1
matchup_013_opening_001_1,matchup_013,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=14,minic,Level=13,1/2-1/2,0.5,80,0.28787000000011176,complete,,1
matchup_014_opening_000_0,matchup_014,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=14,minic,Level=15,1/2-1/2,0.5,80,0.42684049997478724,complete,,0
matchup_014_opening_000_1,matchup_014,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=15,minic,Level=14,1/2-1/2,0.5,80,0.38773689995286986,complete,,0
matchup_014_opening_001_0,matchup_014,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=14,minic,Level=15,1/2-1/2,0.5,80,0.36842449998948723,complete,,1
matchup_014_opening_001_1,matchup_014,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=15,minic,Level=14,1/2-1/2,0.5,80,0.3391866000019945,complete,,1
matchup_015_opening_000_0,matchup_015,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=15,minic,Level=16,1/2-1/2,0.5,80,0.3644719000440091,complete,,0
matchup_015_opening_000_1,matchup_015,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=16,minic,Level=15,1/2-1/2,0.5,80,0.28872459998819977,complete,,0
matchup_015_opening_001_0,matchup_015,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=15,minic,Level=16,0-1,0.0,70,0.2294419999816455,complete,,1
matchup_015_opening_001_1,matchup_015,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=16,minic,Level=15,1/2-1/2,0.5,80,0.2825787999900058,complete,,1
matchup_016_opening_000_0,matchup_016,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=16,minic,Level=17,1/2-1/2,0.5,80,0.3073378000408411,complete,,0
matchup_016_opening_000_1,matchup_016,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=17,minic,Level=16,1/2-1/2,0.5,80,0.29410050000296906,complete,,0
matchup_016_opening_001_0,matchup_016,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=16,minic,Level=17,0-1,0.0,66,0.23407519998727366,complete,,1
