step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
65,movement,movement_0065,f4a1,100.0,-100.0,200.0,0.07576568547998053,0.2009560332597992,-0.1317793134524407,-0.1317793134524407,1,,0,reward_aversive,curriculum,1.3908712420783822e-05,0.034564749639851476,948.6041529999347
66,movement,movement_0066,h6a1,100.0,-100.0,200.0,0.07576568547998053,0.19469651587080825,-0.12519034777981866,-0.12519034777981866,1,,0,reward_aversive,curriculum,8.97498027717514e-06,0.03424433106223623,950.0113433999941
67,movement,movement_0067,b7a1,100.0,-100.0,200.0,0.07576568547998053,0.18874997435126684,-0.11893083039082772,-0.11893083039082772,1,,0,reward_aversive,curriculum,5.519383144303033e-06,0.03411073493125876,952.1213431999786
68,movement,movement_0068,g7a1,100.0,100.0,0.0,1.0,0.2293124756337035,0.8112500256487332,0.8112500256487332,1,,1,reward_aversive,curriculum,7.906107128821187e-06,0.03695674868555609,954.6935606000479
69,movement,movement_0069,h8a1,100.0,-100.0,200.0,0.07576568547998053,0.22163513612601732,-0.15354679015372297,-0.15354679015372297,1,,0,reward_aversive,curriculum,9.019478042027605e-06,0.03633844944138071,956.9505216999678
70,movement,movement_0070,f7a1,100.0,-100.0,200.0,0.07576568547998053,0.21434166359371545,-0.1458694506460368,-0.1458694506460368,1,,0,reward_aversive,curriculum,1.1429918885969532e-05,0.03598634161105056,958.8371713999659
71,movement,movement_0071,a7a1,100.0,-100.0,200.0,0.07576568547998053,0.2074128646880287,-0.13857597811373493,-0.13857597811373493,1,,0,reward_aversive,curriculum,7.695303147575043e-06,0.03558912088715804,960.7781283999793
72,movement,movement_0072,f7a1,100.0,-100.0,200.0,0.07576568547998053,0.20083050572762626,-0.13164717920804817,-0.13164717920804817,1,,0,reward_aversive,curriculum,1.4190706396740113e-05,0.03480242324531135,962.5288650000002
73,movement,movement_0073,h4g6,100.0,100.0,0.0,1.0,0.24078898044124492,0.7991694942723737,0.7991694942723737,1,,1,reward_aversive,curriculum,1.1819761974307759e-05,0.0407390926483968,964.181570500019
74,movement,movement_0074,e4a1,100.0,-100.0,200.0,0.07576568547998053,0.2325378156931817,-0.1650232949612644,-0.1650232949612644,1,,0,reward_aversive,curriculum,1.4393651973785368e-05,0.039528894083160425,966.0208989999956
75,movement,movement_0075,g1a1,100.0,-100.0,200.0,0.07576568547998053,0.22469920918252162,-0.15677213021320116,-0.15677213021320116,1,,0,reward_aversive,curriculum,1.248602191073064e-05,0.038270815168836195,968.0270776000107
76,movement,movement_0076,g2a1,100.0,-100.0,200.0,0.07576568547998053,0.21725253299739455,-0.1489335237025411,-0.1489335237025411,1,,0,reward_aversive,curriculum,7.614820408340666e-06,0.03735800983454951,969.9013701999793
77,movement,movement_0077,f5a1,100.0,-100.0,200.0,0.07576568547998053,0.21017819062152385,-0.14148684751741403,-0.14148684751741403,1,,0,reward_aversive,curriculum,9.689236754235743e-06,0.03636898907179489,971.999032999971
78,movement,movement_0078,a3a1,100.0,-100.0,200.0,0.07576568547998053,0.20345756536444667,-0.13441250514154332,-0.13441250514154332,1,,0,reward_aversive,curriculum,7.167050689670988e-06,0.03618066732077719,973.1885085999966
79,movement,movement_0079,f5a1,100.0,-100.0,200.0,0.07576568547998053,0.19707297137022337,-0.12769187988446615,-0.12769187988446615,1,,0,reward_aversive,curriculum,9.76556759610527e-06,0.03613604729119757,974.9387705000117
80,movement,movement_0080,e4c6,100.0,100.0,0.0,1.0,0.2372193228017122,0.8029270286297766,0.8029270286297766,1,,1,reward_aversive,curriculum,1.0178182032665969e-05,0.03903195935293498,976.6777629000135
81,movement,movement_0081,f4a1,100.0,-100.0,200.0,0.07576568547998053,0.22914664093562562,-0.16145363732173168,-0.16145363732173168,1,,0,reward_aversive,curriculum,4.930327897135531e-06,0.038766752937533185,978.7475135000423
82,movement,movement_0082,f1a1,100.0,-100.0,200.0,0.07576568547998053,0.22147759316284335,-0.1533809554556451,-0.1533809554556451,1,,0,reward_aversive,curriculum,6.826633222807262e-06,0.038550001379120395,980.7683383999392
83,movement,movement_0083,g7g6,100.0,100.0,0.0,1.0,0.26040371350470115,0.7785224068371567,0.7785224068371567,1,,1,reward_aversive,curriculum,6.948466480062186e-06,0.04334150482313942,982.469216199941
84,movement,movement_0084,a5a1,100.0,-100.0,200.0,0.07576568547998053,0.2511718121034651,-0.18463802802472062,-0.18463802802472062,1,,0,reward_aversive,curriculum,1.0244977850696112e-05,0.04266834971763408,983.5767897999613
85,movement,movement_0085,d2a1,100.0,-100.0,200.0,0.07576568547998053,0.24240150577229086,-0.1754061266234846,-0.1754061266234846,1,,0,reward_aversive,curriculum,1.3979082440938832e-05,0.04183529432851309,985.3406673000427
86,movement,movement_0086,c3a1,100.0,100.0,0.0,1.0,0.2802814304836763,0.7575984942277092,0.7575984942277092,1,,1,reward_aversive,curriculum,1.1854457081649272e-05,0.04542144141587143,987.40239069995
87,movement,movement_0087,c2a1,100.0,-100.0,200.0,0.07576568547998053,0.2700556432334915,-0.2045157450036958,-0.2045157450036958,1,,0,reward_aversive,curriculum,1.1815732977010819e-05,0.044073153449321084,989.1889337999746
88,movement,movement_0088,c3a1,100.0,100.0,0.0,1.0,0.3065528610718169,0.7299443567665085,0.7299443567665085,1,,1,reward_aversive,curriculum,1.0614666927397603e-05,0.0487071229294033,991.0933251000242
89,movement,movement_0089,a2a1,100.0,100.0,0.0,1.0,0.34122521801822603,0.6934471389281831,0.6934471389281831,1,,1,reward_aversive,curriculum,1.2621511615173802e-05,0.052624517162803745,993.1613671999658
90,movement,movement_0090,h2a1,100.0,-100.0,200.0,0.07576568547998053,0.32795224139131374,-0.2654595325382455,-0.2654595325382455,1,,0,reward_aversive,curriculum,1.0727240873034577e-05,0.052069582068143494,995.1975722999778
91,movement,movement_0091,a1b3,100.0,100.0,0.0,1.0,0.36155462932174803,0.6720477586086863,0.6720477586086863,1,,1,reward_aversive,curriculum,5.945481128883226e-06,0.0548404377843069,996.7048710000236
92,movement,movement_0092,d6a1,100.0,-100.0,200.0,0.07576568547998053,0.3472651821296596,-0.2857889438417675,-0.2857889438417675,1,,0,reward_aversive,curriculum,9.662950404909855e-06,0.05423017459087299,998.7510585000273
93,movement,movement_0093,a4a1,100.0,100.0,0.0,1.0,0.3799019230231766,0.6527348178703404,0.6527348178703404,1,,1,reward_aversive,curriculum,7.415948197855595e-06,0.05650529852441699,1000.8662028999534
94,movement,movement_0094,g2a1,100.0,-100.0,200.0,0.07576568547998053,0.36469511114601677,-0.3041362375431961,-0.3041362375431961,1,,0,reward_aversive,curriculum,9.357369778874171e-06,0.055325453512836305,1002.9408386000432
95,movement,movement_0095,g5g6,100.0,100.0,0.0,1.0,0.3964603555887159,0.6353048888539832,0.6353048888539832,1,,1,reward_aversive,curriculum,9.662192697840149e-06,0.057547337237591104,1004.7083924999461
96,movement,movement_0096,c2a1,100.0,-100.0,200.0,0.07576568547998053,0.3804256220832791,-0.32069467010873537,-0.32069467010873537,1,,0,reward_aversive,curriculum,1.492429219702317e-05,0.05533257406341366,1005.9755179999629
97,movement,movement_0097,b8c6,100.0,100.0,0.0,1.0,0.41140434097911516,0.6195743779167209,0.6195743779167209,1,,1,reward_aversive,curriculum,1.4390215598414048e-05,0.05990743484487983,1008.106975600007
98,movement,movement_0098,c3a1,100.0,100.0,0.0,1.0,0.44083412393015936,0.5885956590208848,0.5885956590208848,1,,1,reward_aversive,curriculum,1.4089359276344513e-05,0.06355279076964651,1012.9575533999596
99,movement,movement_0099,c3a1,100.0,-100.0,200.0,0.07576568547998053,0.4225807020076504,-0.36506843845017883,-0.36506843845017883,1,,0,reward_aversive,curriculum,1.565091827361094e-05,0.06043404663028556,1017.2060878999764
100,movement,movement_0100,d2a1,100.0,-100.0,200.0,0.07576568547998053,0.4052399511812669,-0.3468150165276699,-0.3468150165276699,1,,0,reward_aversive,curriculum,1.1941164126330651e-05,0.057647876402416955,1019.4412074999418
101,movement,movement_0101,a7d1,100.0,-100.0,200.0,0.07576568547998053,0.3887662378962025,-0.32947426570128635,-0.32947426570128635,1,,0,reward_aversive,curriculum,1.3152195421301568e-05,0.05556044906900631,1021.6142284999369
102,movement,movement_0102,a2a1,100.0,-100.0,200.0,0.07576568547998053,0.3731162102753914,-0.313000552416222,-0.313000552416222,1,,0,reward_aversive,curriculum,7.453787667657323e-06,0.05456552325788066,1023.4036399000324
103,movement,movement_0103,f4a1,100.0,-100.0,200.0,0.07576568547998053,0.3582486840356208,-0.29735052479541085,-0.29735052479541085,1,,0,reward_aversive,curriculum,9.496360671811236e-06,0.05365155259108207,1025.5168085000478
104,movement,movement_0104,d6a1,100.0,-100.0,200.0,0.07576568547998053,0.3441245341078388,-0.2824829985556403,-0.2824829985556403,1,,0,reward_aversive,curriculum,9.115542338165532e-06,0.05345679410422406,1027.5335283000022
