edge_offset,pre_index,post_index,pre_body_id,post_body_id,original_weight,original_sign,pre_in_kc_manifest,post_in_mbon_manifest,pre_out_degree,post_in_degree
7400913,49193,116068,66171,187741,0.005284016020596027,1,True,True,42,88
7400914,48838,116068,65729,187741,0.003963012248277664,1,True,True,50,88
7400916,47511,116068,64141,187741,0.005284016020596027,1,True,True,43,88
7400922,44443,116068,60443,187741,0.009247028268873692,1,True,True,47,88
7400927,43332,116068,59090,187741,0.005284016020596027,1,True,True,50,88
7400929,40049,116068,55216,187741,0.0066050197929143906,1,True,True,51,88
7400931,38869,116068,53851,187741,0.003963012248277664,1,True,True,45,88
7400933,38031,116068,52877,187741,0.005284016020596027,1,True,True,51,88
7400934,37952,116068,52789,187741,0.003963012248277664,1,True,True,49,88
7400936,37062,116068,51745,187741,0.005284016020596027,1,True,True,49,88
7400937,36478,116068,51054,187741,0.003963012248277664,1,True,True,48,88
7400939,35376,116068,49774,187741,0.003963012248277664,1,True,True,49,88
7400940,35356,116068,49750,187741,0.005284016020596027,1,True,True,54,88
7400944,32481,116068,46425,187741,0.005284016020596027,1,True,True,44,88
7400946,30507,116068,44179,187741,0.003963012248277664,1,True,True,48,88
7400956,23065,116068,35736,187741,0.0066050197929143906,1,True,True,50,88
8243092,142040,131147,580421,525780,0.0010099876672029495,1,True,True,43,318
8243112,135222,131147,535798,525780,0.0005611042724922299,1,True,True,56,318
8243115,134488,131147,534136,525780,0.002019975334405899,1,True,True,47,318
8243121,132191,131147,529490,525780,0.0008977667894214392,1,True,True,61,318
8243164,118951,131147,206739,525780,0.0012344293063506484,1,True,True,32,318
8243165,118402,131147,202242,525780,0.0004488833947107196,1,True,True,30,318
8243172,113853,131147,175767,525780,0.0006733250920660794,1,True,True,24,318
8243198,105842,131147,148989,525780,0.0003366625460330397,1,True,True,36,318
8243204,105009,131147,147040,525780,0.0003366625460330397,1,True,True,37,318
8243206,104526,131147,145974,525780,0.0004488833947107196,1,True,True,26,318
8243213,103836,131147,144486,525780,0.0006733250920660794,1,True,True,50,318
8243223,101877,131147,140461,525780,0.0003366625460330397,1,True,True,28,318
8243235,100352,131147,137484,525780,0.0005611042724922299,1,True,True,39,318
8243236,100185,131147,137174,525780,0.0004488833947107196,1,True,True,43,318
8243238,100098,131147,137021,525780,0.0003366625460330397,1,True,True,48,318
8243239,99630,131147,136127,525780,0.0003366625460330397,1,True,True,33,318
8243241,99298,131147,135506,525780,0.0003366625460330397,1,True,True,41,318
8243249,98186,131147,133500,525780,0.0007855459116399288,1,True,True,34,318
8243250,98148,131147,133435,525780,0.0003366625460330397,1,True,True,38,318
8243253,97809,131147,132857,525780,0.0006733250920660794,1,True,True,60,318
8243254,97752,131147,132747,525780,0.0003366625460330397,1,True,True,30,318
8243255,97703,131147,132661,525780,0.0007855459116399288,1,True,True,47,318
8243256,97376,131147,132117,525780,0.0006733250920660794,1,True,True,54,318
8243261,96647,131147,130950,525780,0.0007855459116399288,1,True,True,56,318
8243262,96437,131147,130580,525780,0.0007855459116399288,1,True,True,40,318
8243267,95222,131147,128604,525780,0.0007855459116399288,1,True,True,54,318
8243281,91637,131147,122874,525780,0.002019975334405899,1,True,True,52,318
8243291,90152,131147,120642,525780,0.0003366625460330397,1,True,True,29,318
8243293,89479,131147,119612,525780,0.0003366625460330397,1,True,True,34,318
8243294,89182,131147,119144,525780,0.0005611042724922299,1,True,True,39,318
8243296,88056,131147,117513,525780,0.0004488833947107196,1,True,True,34,318
8243303,85669,131147,114029,525780,0.0004488833947107196,1,True,True,43,318
8243304,85631,131147,113972,525780,0.0003366625460330397,1,True,True,45,318
8243305,85321,131147,113528,525780,0.0003366625460330397,1,True,True,32,318
8243308,84448,131147,112293,525780,0.0007855459116399288,1,True,True,49,318
8243310,84096,131147,111803,525780,0.0007855459116399288,1,True,True,43,318
8243311,84089,131147,111795,525780,0.0003366625460330397,1,True,True,42,318
8243314,83612,131147,111127,525780,0.0007855459116399288,1,True,True,49,318
8243317,82461,131147,109512,525780,0.0005611042724922299,1,True,True,33,318
8243318,82255,131147,109220,525780,0.0005611042724922299,1,True,True,59,318
8243326,80576,131147,106905,525780,0.0007855459116399288,1,True,True,45,318
8243328,80266,131147,106448,525780,0.002019975334405899,1,True,True,27,318
8243331,78874,131147,104535,525780,0.0008977667894214392,1,True,True,43,318
8243335,78318,131147,103794,525780,0.0005611042724922299,1,True,True,50,318
8243337,78051,131147,103416,525780,0.0004488833947107196,1,True,True,37,318
8243341,77237,131147,102317,525780,0.0007855459116399288,1,True,True,48,318
8243357,72367,131147,95639,525780,0.0005611042724922299,1,True,True,61,318
8243361,71820,131147,94914,525780,0.0003366625460330397,1,True,True,31,318
8243364,71059,131147,93902,525780,0.0005611042724922299,1,True,True,48,318
